dummy,SMILES_rad,BDE kJ
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,501.16495
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,509.744367
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,518.147458
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,522.56349
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,518.781704
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,507.141593
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,500.346484
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,507.717941
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,500.225425
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,512.984018
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,523.371429
OC[C](F)C(F)F,OC[C](F)C(F)F,546.641123
OCC(F)(F)[CH]F,OCC(F)(F)[CH]F,539.324933
OC[C](F)C(F)(F)C(F)F,OC[C](F)C(F)(F)C(F)F,534.122017
OCC(F)(F)[C](F)C(F)F,OCC(F)(F)[C](F)C(F)F,536.630048
OCC(F)(F)C(F)(F)[CH]F,OCC(F)(F)C(F)(F)[CH]F,531.419237
OC[C](F)C(F)(F)C(F)(F)C(F)F,OC[C](F)C(F)(F)C(F)(F)C(F)F,533.174596
OCC(F)(F)C(F)(F)[C](F)C(F)F,OCC(F)(F)C(F)(F)[C](F)C(F)F,522.637178
OCC(F)(F)C(F)(F)C(F)(F)[CH]F,OCC(F)(F)C(F)(F)C(F)(F)[CH]F,526.387383
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)F,522.79245
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)F,504.146692
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)F,521.810817
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[CH]F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[CH]F,518.952766
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)F,508.873267
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)F,515.778908
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)F,511.286557
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)F,516.594742
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[CH]F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[CH]F,524.842562
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,522.958248
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,513.1235
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)F,498.733239
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)F,505.683619
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)F,510.32861
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)F,506.3126
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[CH]F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[CH]F,522.805608
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,521.355529
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,512.823483
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,496.809449
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)F,498.196367
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)F,505.086218
